Supplier code;Supplier loading order;Supplier dock;Supplier dock loading order;Plant code;Plant dock;Plant dock loading order;Product code;Arrival time;Id truck;Length;Width;Height;Max weight;Stack with multiple docks;Max density;Max weight on the bottom item in stacks;Cost;EMmm;EMmr;CM;CJfm;CJfc;CJfh;EM;EJhr;EJcr;EJeh
0090016500;1;1GRA;2;0091017700;177GRF;4;111108473R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRF;4;150100347R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRF;4;111103561R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRF;4;111100160R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRF;4;150107908R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GR5;1;111109158R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRG;2;122820799R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRE;3;8201719187;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRF;4;111105173R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GR5;1;111109528R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRG;2;8201660055;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GR5;1;135023545R;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0090016500;1;1GRA;2;0091017700;177GRG;2;8201216109;202307280730;P209574901;13500;2440;3000;24500;1;1250;100000;1500;12000;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
