scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023004569;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023007286;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023007344;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023008178;input item qty = 8;output item qty = 4
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023012745;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023013734;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023014920;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023016893;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023018358;input item qty = 3;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023020181;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023023507;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023023652;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023027317;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023028289;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023033598;input item qty = 8;output item qty = 2
