scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023000386;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023000937;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023001523;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023001609;input item qty = 3;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023002467;input item qty = 6;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023003131;input item qty = 7;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023003585;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023004205;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023004853;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023005690;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023007361;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008182;input item qty = 4;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023010255;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023010851;input item qty = 7;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023013838;input item qty = 5;output item qty = 4
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023014568;input item qty = 3;output item qty = 2
