scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023000916;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023001111;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023004569;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023005953;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023007602;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023008178;input item qty = 8;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023009225;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023009635;input item qty = 5;output item qty = 4
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023013734;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023017433;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023018358;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023019612;input item qty = 6;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023023652;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023027736;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023028289;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023033491;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023033598;input item qty = 8;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023035549;input item qty = 2;output item qty = 1
