scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023001395;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023001564;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023001801;input item qty = 6;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023002308;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023003318;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023004252;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023004801;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023005954;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023006186;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023007437;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023009576;input item qty = 5;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023010285;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023010666;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023011122;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023011794;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023012624;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023012755;input item qty = 4;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023012795;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023012796;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023013449;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023013604;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023013636;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023013717;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023013749;input item qty = 3;output item qty = 1
