scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023001483;input item qty = 4;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023003404;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023003794;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023005999;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023008496;input item qty = 4;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023009351;input item qty = 3;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023012103;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023012414;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023013498;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023015443;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023016147;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023018144;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023018372;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023021073;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023023000;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023024011;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023024661;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023025717;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023025843;input item qty = 6;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023025891;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023027144;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023028782;input item qty = 11;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023030752;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023031363;input item qty = 9;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023031711;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023032233;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023034897;input item qty = 5;output item qty = 2
