Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090018000_08062023001424;0027146000;;0090018000;X1;244282289R;ECA---0021;1;1200;1000;359;88,400;0;GERB--3551_1200_1000;none;202307310000;202308010600;13;100
0090018000_08062023002775;0027146000;;0090018000;X1;623103295R;SLI---0770;2;1200;1000;975;137,568;45;GERB--1213_1200_1000;none;202307310000;202308010600;1;100
0090018000_08062023002847;0027146000;;0090018000;X1;253C62616R;ECA---0021;1;1200;1000;259;42,680;0;GERB--3551_1200_1000;none;202307310000;202308010600;958;100
0090018000_08062023003045;0027146000;;0090018000;X1;969J23755R;ECA---0021;1;1200;1000;943;98,100;0;GERB--3551_1200_1000;none;202307310000;202308010600;4;100
0090018000_08062023003275;0027146000;;0090018000;X1;809009497R;SFDA--9236;1;1200;1000;975;142,244;45;GERB--1213_1200_1000;none;202307310000;202308010600;1;100
0090018000_08062023003459;0027146000;;0090018000;X1;849518529R;SLI---0770;5;1200;1000;975;134,520;45;GERB--1213_1200_1000;none;202307310000;202308010600;2;100
0090018000_08062023003514;0027146000;;0090018000;X1;687749107R;SLI---0771;3;1200;1000;975;127,600;45;GERB--1213_1200_1000;none;202307310000;202308010655;2;100
0090018000_08062023003719;0027146000;;0090018000;X1;769156971R;SFDA--9302;6;1200;1000;975;129,620;45;GERB--1213_1200_1000;none;202308010000;202308020600;1;100
0090018000_08062023003738;0027146000;;0090018000;X1;484724755R;ECA---0021;1;1200;1000;1057;91,470;0;GERB--3551_1200_1000;none;202307310000;202308010600;2;100
0090018000_08062023004036;0027146000;;0090018000;X1;638415599R;SLI---0760;4;1200;1000;930;129,650;45;GERB--1213_1200_1000;none;202307310000;202308010600;1;100
0090018000_08062023004500;0027146000;;0090018000;X1;668110431R;ECM---8485;2;1605;1205;1450;173,490;45;GERB--0167_1605_1205;none;202308010000;202308020600;2;100
0090018000_08062023004972;0027146000;;0090018000;X1;363153710R;ECA---0021;1;1200;1000;459;44,800;0;GERB--3551_1200_1000;none;202307310000;202308010600;7;100
0090018000_08062023005449;0027146000;;0090018000;X1;873312970R;ECA---0021;1;1200;1000;1057;138,600;0;GERB--3551_1200_1000;none;202307310000;202308010600;3;100
0090018000_08062023005520;0027146000;;0090018000;X1;873810044R;ECA---0021;1;1200;1000;1057;138,600;0;GERB--3551_1200_1000;none;202307310000;202308010600;3;100
0090018000_08062023005544;0027146000;;0090018000;X1;969125290R;SLI---0770;1;1200;1000;975;141,400;45;GERB--1213_1200_1000;none;202307310000;202308010600;3;100
0090018000_08062023006171;0027146000;;0090018000;X1;769165897R;SFDA--9302;13;1200;1000;975;129,620;45;GERB--1213_1200_1000;none;202307310000;202308010600;1;100
0090018000_08062023006297;0027146000;;0090018000;X1;969308576R;ECA---0021;1;1200;1000;459;53,680;0;GERB--3551_1200_1000;none;202307310000;202308010600;8;100
0090018000_08062023006979;0027146000;;0090018000;X1;873809125R;ECA---0021;1;1200;1000;1057;101,400;0;GERB--3551_1200_1000;none;202307310000;202308010600;2;100
0090018000_08062023007379;0027146000;;0090018000;X1;623103295R;SLI---0770;6;1200;1000;975;137,568;45;GERB--1213_1200_1000;none;202308010000;202308020600;1;100
0090018000_08062023007932;0027146000;;0090018000;X1;829014381R;SFDA--9236;1;1200;1000;975;135,804;45;GERB--1213_1200_1000;none;202307310000;202308010600;1;100
0090018000_08062023007945;0027146000;;0090018000;X1;622239305R;ECA---0021;1;1200;1000;359;41,948;0;GERB--3551_1200_1000;none;202307310000;202308010600;72;100
0090018000_08062023008321;0027146000;;0090018000;X1;626531146R;SLI---0601;2;1200;1000;750;106,240;45;GERB--1213_1200_1000;none;202308010000;202308020600;1;100
0090018000_08062023008865;0027146000;;0090018000;X1;214763673R;SLI---0771;5;1200;1000;975;127,000;45;GERB--1213_1200_1000;none;202307310000;202308010600;2;100
0090018000_08062023008870;0027146000;;0090018000;X1;681044119R;ECA---0021;1;1200;1000;459;46,720;0;GERB--3551_1200_1000;none;202307310000;202308010600;10;100
0090018000_08062023010314;0027146000;;0090018000;X1;969103523R;SLI---0770;1;1200;1000;975;150,600;45;GERB--1213_1200_1000;none;202307310000;202308010600;3;100
0090018000_08062023010735;0027146000;;0090018000;X1;628119487R;SLI---0601;1;1200;1000;750;103,336;45;GERB--1213_1200_1000;none;202307310000;202308010600;1;100
0090018000_08062023011556;0027146000;;0090018000;X1;681082373R;ECA---0021;1;1200;1000;359;48,200;0;GERB--3551_1200_1000;none;202307310000;202308010600;12;100
0090018000_08062023012069;0027146000;;0090018000;X1;687606163R;ECA---0021;1;1200;1000;359;37,600;0;GERB--3551_1200_1000;none;202307310000;202308010600;22;100
0090018000_08062023012768;0027146000;;0090018000;X1;849508125R;SLI---0770;6;1200;1000;975;134,520;45;GERB--1213_1200_1000;none;202307310000;202308010600;2;100
0090018000_08062023012997;0027146000;;0090018000;X1;638407033R;SLI---0760;6;1200;1000;930;129,650;45;GERB--1213_1200_1000;none;202307310000;202308010600;1;100
0090018000_08062023013174;0027146000;;0090018000;X1;681354423R;ECA---0021;1;1200;1000;1057;125,760;0;GERB--3551_1200_1000;none;202307310000;202308010600;6;100
