Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016200_08062023002577;0003043102;;0090016200;G014B1;749026932R;ECM---5154;1;1615;1205;975;218,120;45;GERB--8655_1615_1205;none;202307180000;202307211415;6;100
0090016200_08062023002725;0003043102;;0090016200;G014B1;749026464R;ECM---5743;2;1962;1612;975;428,800;45;GERB--8777_1962_1612;none;202307180000;202307211415;8;100
0090016200_08062023004574;0003043102;;0090016200;G014B1;849021260R;CAR-S-4292;1;2400;1600;550;114,400;30;GERB--6182_2400_1600;none;202307200000;202307212045;9;100
0090016200_08062023005810;0003043102;;0090016200;G014B1;749026464R;ECM---5743;2;1962;1612;975;428,800;45;GERB--8777_1962_1612;none;202307200000;202307212045;8;100
0090016200_08062023006012;0003043102;;0090016200;G014B1;849022931R;ECM---5730;1;1950;1600;1450;607,700;45;GERB--2189_1950_1600;none;202307190000;202307241415;23;100
0090016200_08062023006701;0003043102;;0090016200;G014B1;749027591R;ECM---5743;1;1962;1612;975;423,200;45;GERB--8777_1962_1612;none;202307190000;202307241415;9;100
0090016200_08062023009664;0003043102;;0090016200;G014B1;749026694R;ECM---5743;1;1962;1612;975;355,240;45;GERB--8777_1962_1612;none;202307200000;202307212045;14;100
0090016200_08062023013106;0003043102;;0090016200;G014B1;749027591R;ECM---5743;2;1962;1612;975;423,200;45;GERB--8777_1962_1612;none;202307200000;202307212045;9;100
0090016200_08062023015615;0003043102;;0090016200;G014B1;749025793R;ECM---5743;1;1962;1612;975;367,000;45;GERB--8777_1962_1612;none;202307180000;202307211415;11;100
0090016200_08062023016088;0003043102;;0090016200;G014B1;749026464R;ECM---5743;1;1962;1612;975;428,800;45;GERB--8777_1962_1612;none;202307190000;202307241415;8;100
0090016200_08062023016448;0003043102;;0090016200;G014B1;849043895R;SLI---0901;1;1600;1200;750;177,500;45;GERB--1613_1600_1200;none;202307200000;202307212045;5;100
0090016200_08062023018263;0003043102;;0090016200;G014B1;849023612R;CAR-S-4292;1;2400;1600;550;116,200;30;GERB--6182_2400_1600;none;202307200000;202307212045;11;100
0090016200_08062023018493;0003043102;;0090016200;G014B1;749021220R;ECM---5743;1;1962;1612;975;423,600;45;GERB--8777_1962_1612;none;202307180000;202307211415;9;100
0090016200_08062023020016;0003043102;;0090016200;G014B1;849043895R;SLI---0901;1;1600;1200;750;177,500;45;GERB--1613_1600_1200;none;202307180000;202307211415;5;100
0090016200_08062023020267;0003043102;;0090016200;G014B1;749021220R;ECM---5743;2;1962;1612;975;423,600;45;GERB--8777_1962_1612;none;202307200000;202307212045;9;100
0090016200_08062023021274;0003043102;;0090016200;G014B1;749025793R;ECM---5743;1;1962;1612;975;367,000;45;GERB--8777_1962_1612;none;202307200000;202307212045;11;100
0090016200_08062023027422;0003043102;;0090016200;G014B1;849028902R;ECM---5733;1;1962;1612;1450;321,000;45;GERB--8777_1962_1612;none;202307190000;202307241415;9;100
0090016200_08062023029902;0003043102;;0090016200;G014B1;849021260R;CAR-S-4292;1;2400;1600;550;114,400;30;GERB--6182_2400_1600;none;202307180000;202307211415;9;100
0090016200_08062023031150;0003043102;;0090016200;G014B1;749026932R;ECM---5154;1;1615;1205;975;218,120;45;GERB--8655_1615_1205;none;202307200000;202307212045;6;100
0090016200_08062023032313;0003043102;;0090016200;G014B1;749021220R;ECM---5743;1;1962;1612;975;423,600;45;GERB--8777_1962_1612;none;202307190000;202307241415;9;100
