scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023000247;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023001529;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023002801;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023002927;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023003148;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023003632;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023005711;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023006100;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023006502;input item qty = 4;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023007137;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023007444;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008124;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008126;input item qty = 4;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008383;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008597;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023008740;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023009464;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023009617;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023011901;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023012517;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023014000;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090018000_08062023014143;input item qty = 1;output item qty = 0
