scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023000825;input item qty = 31;output item qty = 15
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023002009;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023006748;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023009288;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023010126;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023010575;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023013463;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023022022;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023024852;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023031195;input item qty = 2;output item qty = 1
