scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023003331;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023005716;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023005988;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023007316;input item qty = 8;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023010378;input item qty = 3;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023016336;input item qty = 5;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023019993;input item qty = 6;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023025259;input item qty = 8;output item qty = 7
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023031178;input item qty = 14;output item qty = 10
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023031946;input item qty = 5;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023034103;input item qty = 1;output item qty = 0
