scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023001844;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023002535;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023002778;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023002785;input item qty = 2;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023003787;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023004028;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023006343;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023007458;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023011629;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023013287;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023013509;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023014707;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023016067;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023017888;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023017997;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023022730;input item qty = 3;output item qty = 2
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023027858;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023028073;input item qty = 3;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023029213;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_14062023029251;input item qty = 1;output item qty = 0
