scope;anomaly;data;
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023002094;input item qty = 7;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023003153;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023010341;input item qty = 11;output item qty = 8
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023011832;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023012634;input item qty = 2;output item qty = 1
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023013444;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023014170;input item qty = 11;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023014596;input item qty = 4;output item qty = 3
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023017165;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023017831;input item qty = 7;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023017941;input item qty = 6;output item qty = 5
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023027235;input item qty = 1;output item qty = 0
Constraint I1;different qty between inputs and outputs for item ident = 0090016200_08062023034209;input item qty = 5;output item qty = 3
